"","FIPS","CENSUS_F_WA","CENSUS_F_BA","CENSUS_F_IA","CENSUS_F_AA","CENSUS_F_NA","CENSUS_F_TOM","CENSUS_M_WA","CENSUS_M_BA","CENSUS_M_IA","CENSUS_M_AA","CENSUS_M_NA","CENSUS_M_TOM","Female_AA","Female_BA","Female_IA","Female_NA","Female_TOM","Female_WA","Male_AA","Male_BA","Male_IA","Male_NA","Male_TOM","Male_WA","DIFF_F_WA","DIFF_F_BA","DIFF_F_IA","DIFF_F_AA","DIFF_F_NA","DIFF_F_TOM","DIFF_M_WA","DIFF_M_BA","DIFF_M_IA","DIFF_M_AA","DIFF_M_NA","DIFF_M_TOM"
"1",36001,0.404073675978256,0.0703627937080314,0.00160265671170286,0.0343222803955788,0.000312055753961374,0.0109065412279587,0.373542295112282,0.0614711309902184,0.00134453652015456,0.0314675481278581,0.000300498133444286,0.010293987340553,0.0126686217008798,0.102873900293255,0,0,0.0308504398826979,0.383929618768328,0.0205278592375367,0.076950146627566,0,0,0.0309677419354839,0.341231671554252,-0.0201440572099278,0.0325111065852237,-0.00160265671170286,-0.0216536586946991,-0.000312055753961374,0.0199438986547393,-0.03231062355803,0.0154790156373476,-0.00134453652015456,-0.0109396888903214,-0.000300498133444286,0.0206737545949309
"2",36003,0.473680112132067,0.00573638581737009,0.00155738981467061,0.0072937756320407,0.000337434459845299,0.00480195192856772,0.483335928983024,0.00947412137257956,0.00163525930540414,0.00612573327103774,0.000129782484555884,0.00589212479883715,0,0,0,0,0,0.506569343065693,0,0,0,0,0,0.493430656934307,0.0328892309336268,-0.00573638581737009,-0.00155738981467061,-0.0072937756320407,-0.000337434459845299,-0.00480195192856772,0.0100947279512821,-0.00947412137257956,-0.00163525930540414,-0.00612573327103774,-0.000129782484555884,-0.00589212479883715
"3",36005,0.238036434837148,0.238490404450501,0.0158569542636719,0.0246236316502995,0.00225918733220448,0.0185887674947096,0.2093865991013,0.198850239777688,0.0143306924324776,0.0225794357983913,0.0019509144245069,0.0150467384371008,0.0326483524406951,0.357358136851972,0.0101665585117889,0,0,0.154546110029562,0.0326050904895811,0.271699473646261,0.00961857379767828,0.000187468454827313,0,0.131170235777634,-0.0834903248075861,0.118867732401471,-0.00569039575188307,0.0080247207903956,-0.00225918733220448,-0.0185887674947096,-0.0782163633236665,0.0728492338685733,-0.0047121186347993,0.0100256546911898,-0.00176344596967958,-0.0150467384371008
"4",36007,0.447626779915064,0.0290407194604047,0.00135523357481889,0.0235448413689733,0.000331001748688484,0.0105795653260055,0.423982013489883,0.028865850612041,0.00124281788658506,0.0229328003997002,0.000262303272545591,0.010236072945291,0.010275038920602,0.0270887389724961,0,0,0.0101712506486767,0.501089776855215,0.00913336792942398,0.0207576543850545,0,0,0.00923715620134925,0.412247016087182,0.0534629969401517,-0.00195198048790859,-0.00135523357481889,-0.0132698024483713,-0.000331001748688484,-0.000408314677328797,-0.0117349974027004,-0.00810819622698648,-0.00124281788658506,-0.0137994324702762,-0.000262303272545591,-0.000998916743941784
"5",36009,0.471537427162707,0.00534673752961516,0.0166485240443107,0.00430620477684574,0.000176090158160978,0.00739578664276109,0.460299673432798,0.00859640135749504,0.0146635077159506,0.00377793430236281,0.0000640327847858103,0.00718768009220721,0,0,0,0,0.0236416424720033,0.539610120282041,0,0,0,0,0.0049771878888428,0.431771049357113,0.0680726931193334,-0.00534673752961516,-0.0166485240443107,-0.00430620477684574,-0.000176090158160978,0.0162458558292422,-0.0285286240756844,-0.00859640135749504,-0.0146635077159506,-0.00377793430236281,-0.0000640327847858103,-0.00221049220336441
"6",36011,0.465311004784689,0.00950723917231094,0.00166221338470142,0.00393028024606972,0.000233020567948798,0.00722363760641273,0.462048716833406,0.0363822780090723,0.00304480208786429,0.00274964270179581,0.000466041135897595,0.0074411234698316,0,0,0,0,0,0.514477766287487,0,0.0062047569803516,0,0,0,0.479317476732161,0.0491667615027981,-0.00950723917231094,-0.00166221338470142,-0.00393028024606972,-0.000233020567948798,-0.00722363760641273,0.0172687598987555,-0.0301775210287207,-0.00304480208786429,-0.00274964270179581,-0.000466041135897595,-0.0074411234698316
"7",36013,0.483772215765753,0.0108846622636696,0.00325028109262356,0.00407229985732778,0.000226763797159783,0.00745485983162788,0.459130549807723,0.0166293451250508,0.00331642053346183,0.00318414165178529,0.000321248712643027,0.00775721156117426,0,0,0,0,0.0293937538273117,0.481322718922229,0,0,0,0,0.035517452541335,0.453766074709124,-0.00244949684352397,-0.0108846622636696,-0.00325028109262356,-0.00407229985732778,-0.000226763797159783,0.0219388939956838,-0.00536447509859889,-0.0166293451250508,-0.00331642053346183,-0.00318414165178529,-0.000321248712643027,0.0277602409801607
"8",36015,0.465111550081339,0.0219033232628399,0.00165582151986986,0.007727167092726,0.000203346502440158,0.0107047408784569,0.430455496165466,0.0425284685103416,0.00200441552405299,0.00707355333488264,0.000174297002091564,0.0104578201254938,0,0,0,0,0,0.546242774566474,0,0,0,0,0,0.453757225433526,0.0811312244851354,-0.0219033232628399,-0.00165582151986986,-0.007727167092726,-0.000203346502440158,-0.0107047408784569,0.0233017292680601,-0.0425284685103416,-0.00200441552405299,-0.00707355333488264,-0.000174297002091564,-0.0104578201254938
"9",36017,0.487153344208809,0.00389987765089723,0.00193719412724307,0.00295676998368679,0.000101957585644372,0.00489396411092985,0.481316272430669,0.0061684339314845,0.00224306688417618,0.00285481239804241,0.000101957585644372,0.00637234910277325,0,0,0,0,0.0542133176193282,0.501473187978786,0,0,0,0,0.0388921626399529,0.405421331761933,0.0143198437699769,-0.00389987765089723,-0.00193719412724307,-0.00295676998368679,-0.000101957585644372,0.0493193535083984,-0.075894940668736,-0.0061684339314845,-0.00224306688417618,-0.00285481239804241,-0.000101957585644372,0.0325198135371796
"10",36019,0.45924520037959,0.00859916782246879,0.00191254836119425,0.00929994890137966,0.000248193298780933,0.00607343601722754,0.45993138185269,0.0403095116431856,0.00246733338199869,0.00607343601722754,0.000218994087159647,0.0056208482370976,0,0,0,0,0.0185094982951778,0.484656600097418,0,0,0,0,0.0180224062347784,0.478811495372625,0.0254113997178286,-0.00859916782246879,-0.00191254836119425,-0.00929994890137966,-0.000248193298780933,0.0124360622779503,0.0188801135199354,-0.0403095116431856,-0.00246733338199869,-0.00607343601722754,-0.000218994087159647,0.0124015579976808
"11",36021,0.46228322575628,0.0212885916478731,0.00134147289835913,0.0107123415506649,0.000213857998289136,0.00800995411773855,0.448460222412318,0.0292207792207792,0.00167198071389688,0.00837934520569251,0.000447157632786375,0.00797107084532234,0,0,0,0,0,0.557575757575758,0,0,0,0,0,0.442424242424242,0.0952925318194779,-0.0212885916478731,-0.00134147289835913,-0.0107123415506649,-0.000213857998289136,-0.00800995411773855,-0.00603597998807576,-0.0292207792207792,-0.00167198071389688,-0.00837934520569251,-0.000447157632786375,-0.00797107084532234
"12",36023,0.4913973668462,0.00850289247955316,0.00204468382206264,0.00628366247755835,0.000149611011370437,0.00715639337721923,0.458832036704568,0.0119688809096349,0.00194494314781568,0.00408936764412527,0.000149611011370437,0.00748055056852184,0,0,0,0,0,0.554375316135559,0,0,0,0,0,0.445624683864441,0.062977949289359,-0.00850289247955316,-0.00204468382206264,-0.00628366247755835,-0.000149611011370437,-0.00715639337721923,-0.013207352840127,-0.0119688809096349,-0.00194494314781568,-0.00408936764412527,-0.000149611011370437,-0.00748055056852184
"13",36025,0.472498498968857,0.00764873260761741,0.00177513248231394,0.00610854413031561,0.000313258673349518,0.00519487299971285,0.479807868013679,0.0139400109640536,0.0019317618189887,0.00488161432636333,0.000287153783903725,0.00561255123084554,0,0,0,0,0.0746934225195095,0.433667781493868,0,0,0,0,0.0267558528428094,0.464882943143813,-0.0388307174749884,-0.00764873260761741,-0.00177513248231394,-0.00610854413031561,-0.000313258673349518,0.0694985495197966,-0.0149249248698662,-0.0139400109640536,-0.0019317618189887,-0.00488161432636333,-0.000287153783903725,0.0211433016119638
"14",36027,0.417655166903054,0.0553666673325476,0.00219341177410655,0.0198645598194131,0.000423500269681775,0.0101640064723626,0.402732775325116,0.0616073033820092,0.00227331748536727,0.0175592800495415,0.000423500269681775,0.0097365109171178,0,0.0614813286569012,0,0,0.0587992572725397,0.393439240767485,0.00381679389312977,0.0507530431194553,0,0,0.063338147307613,0.368372188982876,-0.0242159261355693,0.00611466132435358,-0.00219341177410655,-0.0198645598194131,-0.000423500269681775,0.0486352508001771,-0.0343605863422404,-0.0108542602625539,-0.00227331748536727,-0.0137424861564118,-0.000423500269681775,0.0536016363904952
"15",36029,0.419374790407207,0.0715323076280685,0.00363663884274767,0.0186777353409006,0.000213996688270763,0.0077351973662749,0.391722242737487,0.0591857426011297,0.00324257177044419,0.0175268507125176,0.000193118962585811,0.00695880694236573,0.011760372543345,0.0940303612302349,0.000868215422663054,0,0.0544344760451472,0.363808571654082,0.0141808519034965,0.0708253308426952,0.000289405140887685,0,0.0491725643926438,0.340629850824805,-0.0555662187531251,0.0224980536021664,-0.00276842342008461,-0.00691736279755564,-0.000213996688270763,0.0466992786788723,-0.0510923919126828,0.0116395882415654,-0.0029531666295565,-0.00334599880902109,-0.000193118962585811,0.0422137574502781
"16",36031,0.467887910925886,0.00261250894162287,0.00167947003390041,0.00432308027244736,0.000248810375392654,0.00506951139862532,0.476782881846173,0.0276801542624327,0.00385656081858613,0.00370105433396573,0.000311012969240817,0.00584704382172737,0,0,0,0,0,0.526627218934911,0,0,0,0,0,0.473372781065089,0.0587393080090257,-0.00261250894162287,-0.00167947003390041,-0.00432308027244736,-0.000248810375392654,-0.00506951139862532,-0.00341010078108428,-0.0276801542624327,-0.00385656081858613,-0.00370105433396573,-0.000311012969240817,-0.00584704382172737
"17",36033,0.397243018419489,0.00228163992869875,0.0359120617944147,0.00235294117647059,0.000142602495543672,0.00520499108734403,0.440665478312537,0.0727272727272727,0.0356268568033274,0.00244800950683304,0.000095068330362448,0.00530005941770648,0,0,0,0,0,0.493123772102161,0,0,0,0,0,0.506876227897839,0.0958807536826721,-0.00228163992869875,-0.0359120617944147,-0.00235294117647059,-0.000142602495543672,-0.00520499108734403,0.0662107495853018,-0.0727272727272727,-0.0356268568033274,-0.00244800950683304,-0.000095068330362448,-0.00530005941770648
"18",36035,0.487776954677083,0.00727321705165331,0.00134689204660246,0.00415291714369093,0.000157137405436954,0.00552225739107011,0.467753159584259,0.0149505017172874,0.0017285114598065,0.00307540350640896,0.000179585606213662,0.0060834624104878,0,0,0,0,0,0.494965553789083,0,0.00582935877053524,0,0,0,0.499205087440382,0.00718859911200054,-0.00727321705165331,-0.00134689204660246,-0.00415291714369093,-0.000157137405436954,-0.00552225739107011,0.0314519278561222,-0.00912114294675212,-0.0017285114598065,-0.00307540350640896,-0.000179585606213662,-0.0060834624104878
"19",36037,0.474256616583894,0.0115462794157708,0.00563693133002242,0.00360428322960541,0.000125730810335073,0.00712474591898745,0.461704490685442,0.0200540642484441,0.00555311078979904,0.0034575972842145,0.0000838205402233817,0.00685232916326146,0,0,0,0,0,0.506644518272425,0,0.00456810631229236,0,0,0,0.488787375415282,0.0323879016885314,-0.0115462794157708,-0.00563693133002242,-0.00360428322960541,-0.000125730810335073,-0.00712474591898745,0.0270828847298399,-0.0154859579361517,-0.00555311078979904,-0.0034575972842145,-0.0000838205402233817,-0.00685232916326146
"20",36039,0.44842228567245,0.012616833833614,0.00224516192010152,0.00605217561070845,0.000219635405227323,0.00776045098469873,0.453620323596164,0.051638724162335,0.00231837372184396,0.00683310149596115,0.000268443273055617,0.0080044903238402,0,0,0,0,0,0.541254125412541,0,0,0,0,0,0.458745874587459,0.0928318397400908,-0.012616833833614,-0.00224516192010152,-0.00605217561070845,-0.000219635405227323,-0.00776045098469873,0.00512555099129502,-0.051638724162335,-0.00231837372184396,-0.00683310149596115,-0.000268443273055617,-0.0080044903238402
"21",36041,0.482907065079767,0.00405165864775893,0.0015193719929096,0.00506457330969866,0.000253228665484933,0.00658394530260826,0.482653836414282,0.00683717396809319,0.0022790579893644,0.0022790579893644,0.000506457330969866,0.00506457330969866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",36043,0.491078066914498,0.00626100567403639,0.00166307963216592,0.00352181569164547,0.0000978282136568186,0.00508706711015457,0.47546468401487,0.00772842887888867,0.00150655449031501,0.00240657405595774,0.000176090784582274,0.00500880453922911,0,0,0,0,0.0425458318920789,0.503286060186787,0,0,0,0,0.0394327222414389,0.414735385679696,0.0122079932722884,-0.00626100567403639,-0.00166307963216592,-0.00352181569164547,-0.0000978282136568186,0.0374587647819243,-0.0607292983351743,-0.00772842887888867,-0.00150655449031501,-0.00240657405595774,-0.000176090784582274,0.0344239177022098
"23",36045,0.427937178060505,0.0221414067250221,0.00300572464350041,0.00836325673706793,0.00149139009028646,0.00917778517099361,0.457030757052554,0.0451432308098248,0.00377436415157112,0.00932692418002226,0.0015028623217502,0.0111051200569023,0,0,0,0,0.00642898889538282,0.527177089421391,0,0,0,0,0,0.466393921683226,0.0992399113608864,-0.0221414067250221,-0.00300572464350041,-0.00836325673706793,-0.00149139009028646,-0.00274879627561079,0.00936316463067188,-0.0451432308098248,-0.00377436415157112,-0.00932692418002226,-0.0015028623217502,-0.0111051200569023
"24",36047,0.254280879962964,0.195647836605979,0.00468330204997976,0.0684093334805491,0.000547700818790932,0.0121801688719978,0.239538962787337,0.148172684111737,0.00464068695532582,0.0612190047825759,0.000580630664659883,0.0100988089081044,0.0627021085818413,0.197176987822868,0.00362132299771498,0.000381800827235126,0.0434443062505423,0.236363636363636,0.0568362595088653,0.142596824111301,0.00381222341133254,0,0.0406328637954473,0.212431666329216,-0.0179172435993273,0.00152915121688865,-0.00106197905226478,-0.0057072248987078,-0.000165899991555807,0.0312641373785445,-0.0271072964581207,-0.00557586000043606,-0.000828463543993279,-0.00438274527371055,-0.000580630664659883,0.0305340548873429
"25",36049,0.483820974029024,0.00281782745503217,0.00140891372751609,0.00239515333677734,0.000422674118254826,0.00464941530080308,0.491616963321279,0.00399192222796224,0.00183158784577091,0.00183158784577091,0.000563565491006434,0.00464941530080308,0,0,0,0,0,0.506988564167726,0,0,0,0,0,0.493011435832274,0.0231675901387019,-0.00281782745503217,-0.00140891372751609,-0.00239515333677734,-0.000422674118254826,-0.00464941530080308,0.00139447251099517,-0.00399192222796224,-0.00183158784577091,-0.00183158784577091,-0.000563565491006434,-0.00464941530080308
"26",36051,0.475746337845355,0.0068607454107176,0.00168737251993325,0.0080845540515483,0.000185425551641016,0.00669386241424068,0.460189134062674,0.0247913962544039,0.00298535138142036,0.00634155386612275,0.000333765992953829,0.00610050064898943,0,0,0,0,0,0.544726301735648,0,0,0,0,0,0.455273698264352,0.0689799638902924,-0.0068607454107176,-0.00168737251993325,-0.0080845540515483,-0.000185425551641016,-0.00669386241424068,-0.00491543579832132,-0.0247913962544039,-0.00298535138142036,-0.00634155386612275,-0.000333765992953829,-0.00610050064898943
"27",36053,0.485119791927175,0.0101868987478951,0.00388469297587489,0.00568532319645209,0.000133380016339052,0.0059520832291302,0.464162456859901,0.0113539738908618,0.00308441287784058,0.0042348155187649,0.00021674252655096,0.00598542823321496,0,0,0,0,0,0.541078838174274,0,0.00912863070539419,0,0,0,0.449792531120332,0.0559590462470993,-0.0101868987478951,-0.00388469297587489,-0.00568532319645209,-0.000133380016339052,-0.0059520832291302,-0.014369925739569,-0.00222534318546761,-0.00308441287784058,-0.0042348155187649,-0.00021674252655096,-0.00598542823321496
"28",36055,0.409105820449526,0.0825516434974665,0.00219241262829674,0.0190967259971417,0.000336169936338833,0.0102280109133429,0.380146485643757,0.0678267506820839,0.00186923476679226,0.0172794595296869,0.000302065739898662,0.00906522021566844,0.00982241442767759,0.132844129554656,0,0,0.0737256164887744,0.326463010673537,0.00680898049319102,0.0955097534044902,0,0,0.0566571586308428,0.298168936326831,-0.0826428097759888,0.0502924860571893,-0.00219241262829674,-0.00927431156946416,-0.000336169936338833,0.0634976055754315,-0.0819775493169262,0.0276830027224063,-0.00186923476679226,-0.0104704790364959,-0.000302065739898662,0.0475919384151744
"29",36057,0.480433202135927,0.0135877058838276,0.00325904384667452,0.00544009626714132,0.000501391361026849,0.00769635739176214,0.458121286570232,0.0164205670736293,0.00268244378149365,0.0038356439118554,0.000852365313745644,0.00716989646268395,0,0,0,0,0.0458199356913183,0.504019292604502,0,0,0,0,0.0442122186495177,0.405948553054662,0.0235860904685744,-0.0135877058838276,-0.00325904384667452,-0.00544009626714132,-0.000501391361026849,0.0381235782995562,-0.05217273351557,-0.0164205670736293,-0.00268244378149365,-0.0038356439118554,-0.000852365313745644,0.0370423221868337
"30",36059,0.380662802671663,0.0702911583403653,0.00253060684506357,0.0556974856619803,0.000463035798566913,0.00808346086185443,0.360119388149144,0.0605039402737453,0.00283095439007995,0.0510698093508202,0.000453202992033639,0.00729415466468342,0.029292400340381,0.0696144530994305,0.0158898998494469,0,0.0974667801269883,0.300418930418276,0.03109249198141,0.0532499836355305,0.0185900373109904,0,0.0885317797996989,0.295853243437848,-0.0802438722533871,-0.000676705240934772,0.0133592930043833,-0.0264050853215993,-0.000463035798566913,0.0893833192651338,-0.0642661447112963,-0.00725395663821479,0.0157590829209104,-0.0199773173694103,-0.000453202992033639,0.0812376251350155
